Wavelength (nm)	ε'	ε''
774.90625	13.7	0.05449
784.71519	13.641	0.05013
794.77564	13.582	0.04596
805.0974	13.525	0.04198
815.69079	13.469	0.03818
826.56667	13.414	0.03456
837.73649	13.36	0.03113
849.21233	13.307	0.02789
861.00694	13.255	0.02483
873.1338	13.205	0.02196
885.60714	13.155	0.01927
898.4420300000002	13.106	0.01677
911.65441	13.059	0.01445
925.26119	13.013	0.01232
939.2803000000001	12.967	0.01038
953.73077	12.923	0.00861
968.6328100000001	12.879	0.00704
984.0079400000001	12.837	0.00564
999.8790300000001	12.795	0.00443
1016.2704899999999	12.754	0.0034
1033.20833	12.715	0.00253
1050.72034	12.676	0.00183
1068.83621	12.639	0.00128
1087.58772	12.602	0.0008590700000000001
1107.00893	12.566	0.0005536
1127.13636	12.532	0.0003408
1148.00926	12.498	0.00019972000000000002
1169.66981	12.465	0.00011105000000000002
1192.16346	12.433	0.00005841100000000001
1215.53922	12.402	0.000028980000000000004
1239.85	12.371	0.000013529
1265.15306	12.342	5.9284e-6
1291.51042	12.313	2.4338e-6
1318.98936	12.285	0
1347.6630400000001	12.258	0
1377.61111	12.232	0
1408.92045	12.206	0
1441.6860500000003	12.181	0
1476.0119	12.157	0
1512.0122000000001	12.134	0
1549.8125	12.111	0
1589.55128	12.089	0
1631.38158	12.067	0
1675.4729700000003	12.046	0
1722.01389	12.026	0
1771.21429	12.007	0
1823.30882	11.988	0
1878.56061	11.97	0
1937.2656200000001	11.952	0
1999.7580600000001	11.935	0
2066.41667	11.919	0
2137.67241	11.903	0
2214.01786	11.888	0
2296.01852	11.873	0
2384.32692	11.859	0
2479.7	11.845	0
2583.02083	11.832	0
2695.32609	11.82	0
2817.8409100000003	11.808	0
2952.02381	11.797	0
3099.625	11.786	0
3262.76316	11.776	0
3444.02778	11.767	0
3646.61765	11.757	0
3874.53125	11.749	0
4132.83333	11.741	0
4428.03571	11.733	0
4768.65385	11.726	0
5166.04167	11.72	0
5635.681820000001	11.714	0
6199.25	11.709	0
