# In-plane momentum (1/um), PSD (a.u.)
2.313543729001225131e+02,1.546949159798207063e+02
2.317704778873529676e+02,1.863322134288949883e+02
2.321865828745833937e+02,2.639811246246914038e+02
2.326026878618138483e+02,3.536711637897133187e+02
2.330187928490442459e+02,4.536441637175113897e+02
2.334348978362747005e+02,5.411859719306410170e+02
2.338510028235051266e+02,6.463808191664069227e+02
2.342671078107355811e+02,7.368710908676897589e+02
2.346832127979660072e+02,8.240699962697067349e+02
2.350993177851964333e+02,9.286167126812283641e+02
2.355154227724268878e+02,9.801828027633357578e+02
2.359315277596573139e+02,1.050538902582205083e+03
2.363476327468877685e+02,1.137700408104536564e+03
2.367637377341181946e+02,1.243095318141480902e+03
2.371798427213486207e+02,1.287092997403108939e+03
2.375959477085790468e+02,1.332923278424008004e+03
2.380120526958095013e+02,1.395260571028544518e+03
2.384281576830399274e+02,1.427561221726954955e+03
2.388442626702703819e+02,1.492229464109213268e+03
2.392603676575007796e+02,1.514367996130595429e+03
2.396764726447312341e+02,1.552614562863617039e+03
