Wavelength (um), Flux (#/m2/s/um)
0.2800000393963506,5.553123776840781e+16
0.2805000394054373,5.564323171562805e+16
0.2810000394145198,5.5755265512465656e+16
0.28150003942359814,5.5867339098948024e+16
0.28200003943267227,5.5979452414822424e+16
0.2825000394417422,5.609160539955531e+16
0.2830000394508078,5.620379799234026e+16
0.2835000394598692,5.631603013206464e+16
0.28400003946892627,5.6428301758302056e+16
0.2845000394779791,5.654061280994876e+16
0.28500003948702757,5.665296322893132e+16
0.2855000394960716,5.6765352989395624e+16
0.2860000395051114,5.687778207302341e+16
0.28650003951414676,5.6990251207137464e+16
0.2870000395231777,5.710276118551665e+16
0.2875000395322042,5.721531929273679e+16
0.2880000395412262,5.732797915579617e+16
0.2885000395502438,5.744076221447415e+16
0.2890000395592569,5.755399458153458e+16
0.2895000395682654,5.7668901748517096e+16
0.2900000395772695,5.778740228618778e+16
0.29050003958626897,5.791155402767636e+16
0.2910000395952638,5.805556409228717e+16
0.29150003960425414,5.8277214069946344e+16
0.2920000396132398,5.862435745548881e+16
0.2925000396222208,5.89714275817561e+16
0.2930000396311972,5.973124167985192e+16
0.29350003964016885,6.192387083948484e+16
0.29400003964913585,6.486016832905485e+16
0.29450003965809807,6.856663427781772e+16
0.29500003966705557,7.715958322529162e+16
0.2955000396760083,1.0041474849753674e+17
0.29600003968495614,1.3051619004317317e+17
0.29650003969389926,1.657384112466642e+17
0.2970000397028375,2.040898724656115e+17
0.2975000397117709,3.381570183528965e+17
0.29800003972069944,4.944560717492267e+17
0.298500039729623,5.974966438360101e+17
0.2990000397385418,8.005389854719845e+17
0.2995000397474555,1.3575907832461302e+18
0.30000003975636425,1.6012364509407017e+18
0.300500039765268,1.943531522607606e+18
0.3010000397741668,2.9847382973766323e+18
0.3015000397830605,4.145352355993669e+18
0.30200003979194917,4.5011500476753316e+18
0.30250003980083273,6.58437238190798e+18
0.3030000398097112,1.0882230284474923e+19
0.3035000398185846,1.3780207196177904e+19
0.3040000398274527,1.4553723243891386e+19
0.30450003983631574,1.8383683213708976e+19
0.3050000398451736,2.533856343170749e+19
0.3055000398540262,2.8849669534110683e+19
0.30600003986287355,2.8678157831097995e+19
0.3065000398717156,3.263025519026953e+19
0.3070000398805524,4.310153942030147e+19
0.3075000398893839,5.522440930934274e+19
0.30800003989821007,5.8728437616043885e+19
0.30850003990703084,6.4403809084049605e+19
0.3090000399158463,6.311443914225328e+19
0.3095000399246563,6.75355201019378e+19
0.31000003993346087,7.955651724287082e+19
0.31050003994226,1.025075746104611e+20
0.31100003995105363,1.2988609782259527e+20
0.31150003995984177,1.319108233321754e+20
0.31200003996862435,1.467232838973438e+20
0.31250003997740144,1.5578072156012174e+20
0.313000039986173,1.691805988293388e+20
0.31350003999493886,1.6982963616037913e+20
0.31400004000369913,1.892587498213282e+20
0.3145000400124538,2.068331688783829e+20
0.3150000400212028,2.1612148138272955e+20
0.315500040029946,1.880822679050913e+20
0.3160000400386836,1.964933352153951e+20
0.31650004004741544,2.3963210906959983e+20
0.31700004005614146,2.738738862451142e+20
0.31750004006486177,2.9167974901770384e+20
0.3180000400735762,2.817175723566089e+20
0.31850004008228483,2.981461007249496e+20
0.3190000400909876,3.287887107429435e+20
0.31950004009968447,3.151340595598002e+20
0.32000004010837535,3.3073764723227414e+20
0.3205000401170604,3.9575955254578846e+20
0.3210000401257394,4.044405746871868e+20
0.32150004013441247,3.859564433057786e+20
0.3220000401430795,3.5997253450851595e+20
0.3225000401517405,3.525114082644807e+20
0.32300004016039546,3.452042757017883e+20
0.3235000401690443,4.0493597841787145e+20
0.324000040177687,4.492088637342356e+20
0.32450004018632367,4.627092981870872e+20
0.32500004019495404,4.5643617341677306e+20
0.3255000402035783,5.315638426628811e+20
0.3260000402121963,6.25661777084051e+20
0.3265000402208081,6.693888886809343e+20
0.3270000402294136,6.553352086848508e+20
0.32750004023801277,6.342285543548053e+20
0.3280000402466057,5.79898488583126e+20
0.32850004025519225,6.146504237873054e+20
0.3290000402637724,6.995731259829243e+20
0.3295000402723462,7.776516941683769e+20
0.33000004028091356,7.83167641500163e+20
0.33050004028947444,7.121630444026357e+20
0.3310000402980289,6.70949950104649e+20
0.33150004030657676,6.97729907833065e+20
0.33200004031511815,7.291503148009289e+20
0.332500040323653,7.352030250429081e+20
0.33300004033218117,7.199640877375307e+20
0.33350004034070285,6.837740357510785e+20
0.3340000403492178,6.977963828475373e+20
0.3345000403577262,7.495604377435952e+20
0.33500004036622777,7.823688768244917e+20
0.3355000403747227,7.653804329422501e+20
0.3360000403832109,7.023469833073495e+20
0.3365000403916923,6.474061036123361e+20
0.3370000404001669,6.342192992879909e+20
0.3375000404086347,6.805409702629187e+20
0.3380000404170955,7.387206552712854e+20
0.3385000404255496,7.75871121279478e+20
0.33900004043399673,7.911475427538799e+20
0.3395000404424369,8.10960534451672e+20
0.3400000404508701,8.589500337080128e+20
0.3405000404592963,8.583448224213581e+20
0.34100004046771554,8.092735474776172e+20
0.3415000404761277,8.069531118597097e+20
0.34200004048453275,8.425507542539513e+20
0.34250004049293076,8.753868813572512e+20
0.34300004050132155,8.891316225560918e+20
0.34350004050970523,8.406262329063655e+20
0.34400004051808175,7.246805879841578e+20
0.344500040526451,6.99095785567114e+20
0.34500004053481304,7.972132869711947e+20
0.34550004054316774,8.511386650495042e+20
0.34600004055151523,8.32270004267268e+20
0.3465000405598553,8.488053078311134e+20
0.347000040568188,8.630790342872572e+20
0.3475000405765134,8.340588246502298e+20
0.3480000405848313,8.324033711270077e+20
0.3485000405931418,8.480730835244472e+20
0.34900004060144485,8.181574555714464e+20
0.3495000406097403,8.411640665564933e+20
0.35000004061802825,9.303411773945483e+20
0.35050004062630863,1.001242832060204e+21
0.35100004063458146,9.74947313372104e+20
0.3515000406428466,9.382920598671701e+20
0.35200004065110413,9.178133377649448e+20
0.3525000406593539,8.689157155246742e+20
0.35300004066759605,9.248456290178881e+20
0.35350004067583046,1.0184792173296916e+21
0.35400004068405705,1.0781937297716952e+21
0.3545000406922758,1.0914592487831294e+21
0.3550000407004868,1.0927127602173473e+21
0.3555000407086899,1.0564548498273561e+21
0.3560000407168851,9.926887111216819e+20
0.35650004072507235,9.322568192680245e+20
0.3570000407332517,8.208991440152303e+20
0.35750004074142305,8.318032343765844e+20
0.35800004074958636,7.751335649255438e+20
0.3585000407577416,7.206304536808583e+20
0.3590000407658888,8.48630852383286e+20
0.3595000407740279,1.0234778641981076e+21
0.36000004078215886,1.0841267341794105e+21
0.36050004079028164,1.0259981777195629e+21
0.3610000407983962,9.455147683572633e+20
0.3615000408065025,9.273885401039258e+20
0.3620000408146006,9.735739637414911e+20
0.36250004082269033,1.0678044475710662e+21
0.3630000408307718,1.0999956296915887e+21
0.3635000408388449,1.071317413778847e+21
0.3640000408469096,1.111033619401945e+21
0.36450004085496585,1.1021006456607444e+21
0.3650000408630137,1.1458922460143174e+21
0.365500040871053,1.2628096835247255e+21
0.36600004087908383,1.354892764063749e+21
0.3665000408871061,1.3590684300358787e+21
0.36700004089511973,1.3355560994369577e+21
0.36750004090312477,1.3120116512017183e+21
0.3680000409111212,1.2368230511893322e+21
0.36850004091910893,1.2301742579458617e+21
0.369000040927088,1.287663993182615e+21
0.3695000409350582,1.3852786875579732e+21
0.3700000409430197,1.4064872638151076e+21
0.37050004095097244,1.2732398639523624e+21
0.37100004095891626,1.295072821813229e+21
0.37150004096685124,1.347556052134918e+21
0.3720000409747773,1.2630948351845678e+21
0.3725000409826944,1.20495465067191e+21
0.3730000409906025,1.1621262871730211e+21
0.37350004099850165,1.0489893045086632e+21
0.3740000410063918,1.0476447594038276e+21
0.37450004101427276,1.0412591752923581e+21
0.3750000410221447,1.1125543980215713e+21
0.37550004103000745,1.2318419987376043e+21
0.37600004103786094,1.2773580362967663e+21
0.37650004104570534,1.258397403887801e+21
0.3770000410535404,1.3518302321727397e+21
0.3775000410613663,1.5100243342312297e+21
0.37800004106918283,1.6288622120834302e+21
0.37850004107699,1.5895359582626046e+21
0.37900004108478774,1.4193687217002214e+21
0.3795000410925762,1.2740221744544895e+21
0.38000004110035507,1.340626757986411e+21
0.38050004110812446,1.4381265236949716e+21
0.3810000411158844,1.465103745525231e+21
0.3815000411236348,1.3221043555326115e+21
0.38200004113137553,1.1284762457303983e+21
0.3825000411391067,9.775268019221294e+20
0.3830000411468282,8.773304710574872e+20
0.38350004115453995,8.50482359173858e+20
0.384000041162242,9.853424727271852e+20
0.38450004116993425,1.1877555547449356e+21
0.3850000411776167,1.305510694822182e+21
0.38550004118528935,1.2491418658395615e+21
0.3860000411929521,1.206788119592133e+21
0.386500041200605,1.256409782026253e+21
0.3870000412082479,1.2692762983303065e+21
0.3875000412158808,1.2525209117697607e+21
0.3880000412235037,1.2419879456767761e+21
0.38850004123111653,1.234865795306474e+21
0.3890000412387193,1.3423388267549551e+21
0.38950004124631193,1.4896919828448307e+21
0.39000004125389437,1.564815979155771e+21
0.3905000412614666,1.580032496919638e+21
0.39100004126902865,1.6758863581881476e+21
0.39150004127658034,1.7017979836005585e+21
0.39200004128412186,1.5687755851685324e+21
0.3925000412916529,1.309247661586673e+21
0.3930000412991736,9.492229537070602e+20
0.39350004130668387,7.558443609262518e+20
0.3940000413141837,9.832147076417105e+20
0.394500041321673,1.3581802579142786e+21
0.3950000413291518,1.60621422049218e+21
0.39550004133662,1.713093125470448e+21
0.39600004134407757,1.5082726894218246e+21
0.3965000413515245,1.0982369483991818e+21
0.3970000413589607,8.518423320068374e+20
0.39750004136638634,1.2596509654557946e+21
0.398000041373801,1.70811361822001e+21
0.398500041381205,2.0200207351967103e+21
0.3990000413885981,2.1478927138823408e+21
0.3995000413959804,2.2165493800587918e+21
0.4000000414033517,2.243487311098927e+21
0.4010000414180614,2.3423591185593535e+21
0.402000041432727,2.4408865924284783e+21
0.4030000414473482,2.3560705152445784e+21
0.40400004146192453,2.400151999273466e+21
0.4050000414764558,2.346967293531048e+21
0.4060000414909417,2.2947169199978953e+21
0.4070000415053819,2.2591863596025174e+21
0.408000041519776,2.364968499823431e+21
0.4090000415341237,2.532392900268391e+21
0.4100000415484248,2.1641771753921962e+21
0.4110000415626788,2.428704156786986e+21
0.41200004157688547,2.5880936029943785e+21
0.4130000415910445,2.4889655316422994e+21
0.41400004160515547,2.468106905811064e+21
0.41500004161921805,2.5609775426963437e+21
0.416000041633232,2.643796054616821e+21
0.4170000416471969,2.5846554856308154e+21
0.4180000416611124,2.4782757689534217e+21
0.41900004167497823,2.585661779073037e+21
0.420000041688794,2.37490266559372e+21
0.42100004170255934,2.703760125383086e+21
0.4220000417162739,2.673217872260957e+21
0.42300004172993744,2.5945882227505795e+21
0.42400004174354944,2.5864211098347514e+21
0.4250000417571097,2.671896628893901e+21
0.4260000417706178,2.602481427384829e+21
0.42700004178407336,2.5202433229528907e+21
0.428000041797476,2.550923484684276e+21
0.4290000418108254,2.3676994819184153e+21
0.43000004182412116,1.8933545034742833e+21
0.431000041837363,1.7227059267183958e+21
0.43200004185055046,2.8722682405776193e+21
0.43300004186368324,2.678595928017787e+21
0.43400004187676094,2.480284173270321e+21
0.43500004188978314,2.726881642754762e+21
0.43600004190274944,2.998071780774638e+21
0.4370000419156596,3.067425539916561e+21
0.43800004192851316,2.698502020951056e+21
0.4390000419413097,2.6023410593457787e+21
0.44000004195404885,2.9901369537930965e+21
0.44100004196673026,2.955639898702216e+21
0.4420000419793535,3.1708320286192855e+21
0.4430000419919182,3.223277195339388e+21
0.444000042004424,3.1480762834512296e+21
0.44500004201687043,3.2750163141486413e+21
0.44600004202925714,2.943123760652141e+21
0.4470000420415837,3.3536426520096885e+21
0.44800004205384975,3.401289298252492e+21
0.44900004206605487,3.4007443420498997e+21
0.4500000420781986,3.532912806490151e+21
0.45100004209028055,3.6719921067358694e+21
0.4520000421023003,3.522902438572914e+21
0.45300004211425754,3.2604625776247916e+21
0.4540000421261517,3.5048938654405613e+21
0.45500004213798245,3.487189114375827e+21
0.4560000421497494,3.609631161016883e+21
0.457000042161452,3.6474547343970203e+21
0.45800004217309,3.577044791566343e+21
0.4590000421846627,3.556433844627224e+21
0.46000004219617,3.5410251542003224e+21
0.4610000422076112,3.6731140790304233e+21
